chr,TnG_start,TnG_end,strand,peaks
chr14,71154992,71155012,-,[394721]
chr14,71209144,71209158,-,[394738]
chr14,71229383,71229405,-,[394744]
chr14,71260075,71260090,-,[394752]
chr14,71330263,71330283,-,[394764]
chr14,71330492,71330508,-,[394764]
chr14,71334215,71334234,-,[394765]
chr14,71404970,71404985,-,[394771]
chr14,71487802,71487816,-,[394776]
chr14,71547296,71547329,-,[394781]
chr14,71613480,71613502,-,[394785]
chr14,71815684,71815718,-,[394794]
chr14,71846071,71846085,-,[394796]
chr14,72081508,72081523,-,[394801]
chr14,72382969,72382984,-,[394826]
chr14,72506841,72506860,-,[394851]
chr14,72564095,72564110,-,[394866]
chr14,72580548,72580564,-,[394872]
chr14,72581197,72581213,-,[394873]
chr14,72589559,72589579,-,[394877]
chr14,72596763,72596779,-,[394882]
chr14,72604462,72604476,-,[394886]
chr14,72671997,72672066,-,[394906]
chr14,72677537,72677556,-,[394909]
chr14,72691689,72691704,-,[394917]
chr14,72700267,72700282,-,[394921]
chr14,72702272,72702287,-,[394922]
chr14,72703937,72703961,-,[394925]
chr14,72755705,72755725,-,[394946]
chr14,72755828,72755847,-,[394946]
chr14,72770005,72770024,-,[394949]
chr14,72770972,72770986,-,[394951]
chr14,72781353,72781373,-,[394954]
chr14,72810020,72810034,-,[394964]
chr14,72820282,72820297,-,[394966]
chr14,72835270,72835289,-,[394974]
chr14,72842307,72842322,-,[394976]
chr14,72869362,72869376,-,[394988]
chr14,72869508,72869522,-,[394989]
chr14,72933900,72933954,-,[394999]
chr14,72966349,72966371,-,[395009]
chr14,72983127,72983142,-,[395014]
chr14,73033578,73033592,-,[395028]
chr14,73041894,73041908,-,[395030]
chr14,73057140,73057156,-,[395042]
chr14,73058964,73058994,-,[395044]
chr14,73059989,73060018,-,[395045]
chr14,73076448,73076464,-,[395049]
chr14,73080784,73080806,-,[395051]
chr14,73092953,73092979,-,[395060]
chr14,73094488,73094502,-,[395061]
chr14,73098419,73098433,-,[395063]
chr14,73098748,73098764,-,[395064]
chr14,73106045,73106059,-,[395066]
chr14,73106112,73106128,-,[395066]
chr14,73122129,73122150,-,[395083]
chr14,73123198,73123227,-,[395085]
chr14,73140181,73140195,-,[395096]
chr14,73147025,73147039,-,[395103]
chr14,73152331,73152350,-,[395105]
chr14,73161880,73161909,-,[395109]
chr14,73162296,73162317,-,[395110]
chr14,73162506,73162522,-,[395111]
chr14,73168916,73168933,-,[395115]
chr14,73172687,73172703,-,[395121]
chr14,73201723,73201737,-,[395133]
chr14,73203049,73203083,-,[395134]
chr14,73219587,73219602,-,[395140]
chr14,73231675,73231694,-,[395149]
chr14,73239311,73239325,-,[395155]
chr14,73289723,73289739,-,[395175]
chr14,73316632,73316646,-,[395183]
chr14,73325132,73325148,-,[395187]
chr14,73335556,73335574,-,[395195]
chr14,73398612,73398631,-,[395243]
chr14,73401895,73401915,-,[395248]
chr14,73425737,73425751,-,[395263]
chr14,73434972,73434990,-,[395266]
chr14,73436017,73436032,-,[395267]
chr14,73444781,73444801,-,[395272]
chr14,73451622,73451652,-,[395277]
chr14,73474826,73474842,-,[395286]
chr14,73483587,73483607,-,[395289]
chr14,73509284,73509315,-,[395297]
chr14,73551144,73551170,-,[395305]
chr14,73588166,73588180,-,[395317]
chr14,73592435,73592450,-,[395318]
chr14,73596633,73596681,-,[395320]
chr14,73599080,73599105,-,[395322]
chr14,73599184,73599198,-,[395322]
chr14,73608976,73608992,-,[395324]
chr14,73612567,73612581,-,[395326]
chr14,73637677,73637691,-,[395330]
chr14,73638689,73638709,-,[395331]
chr14,73687756,73687770,-,[395333]
chr14,73770319,73770348,-,[395341]
chr14,73838423,73838447,-,[395351]
chr14,73902533,73902551,-,[395360]
chr14,74240406,74240432,-,[395381]
chr14,74589103,74589118,-,[395400]
chr14,74672155,74672169,-,[395425]
chr14,74680999,74681014,-,[395426]
chr14,74703666,74703696,-,[395432]
chr14,74774491,74774505,-,[395448]
chr14,74774751,74774804,-,[395448]
chr14,74841973,74841987,-,[395469]
chr14,74852183,74852199,-,[395476]
chr14,74888260,74888276,-,[395508]
chr14,74890378,74890392,-,[395512]
chr14,74908379,74908398,-,[395523]
chr14,74919442,74919466,-,[395534]
chr14,74938981,74939000,-,[395545]
chr14,74944833,74944847,-,[395552]
chr14,74944883,74944906,-,[395552]
chr14,74948024,74948046,-,[395557]
chr14,74949115,74949134,-,[395559]
chr14,74956312,74956328,-,[395560]
chr14,74960883,74960898,-,[395561]
chr14,74965641,74965680,-,[395565]
chr14,74965689,74965704,-,[395565]
chr14,74989178,74989192,-,[395580]
chr14,74995623,74995649,-,[395583]
chr14,74995689,74995708,-,[395583]
chr14,75009692,75009714,-,[395592]
chr14,75033484,75033503,-,[395612]
chr14,75049959,75049991,-,[395620]
chr14,75150443,75150488,-,[395654]
chr14,75184554,75184568,-,[395676]
chr14,75203281,75203301,-,[395694]
chr14,75227943,75227957,-,[395700]
chr14,75229896,75229911,-,[395701]
chr14,75240140,75240159,-,[395707]
chr14,75240175,75240191,-,[395707]
chr14,75373588,75373602,-,[395730]
chr14,75454983,75455001,-,[395742]
chr14,75473518,75473569,-,[395748]
chr14,75516341,75516374,-,[395757]
chr14,75572290,75572319,-,[395766]
chr14,75641502,75641528,-,[395769]
chr14,75771646,75771667,-,[395802]
chr14,75842034,75842056,-,[395833]
chr14,75873380,75873395,-,[395847]
chr14,75892281,75892295,-,[395851]
chr14,75947246,75947260,-,[395865]
chr14,75966215,75966234,-,[395871]
chr14,76051499,76051513,-,[395892]
chr14,76081923,76081937,-,[395898]
chr14,76081968,76081990,-,[395898]
chr14,76093537,76093566,-,[395903]
chr14,76114666,76114680,-,[395911]
chr14,76115883,76115897,-,[395912]
chr14,76178543,76178573,-,[395938]
chr14,76179608,76179623,-,[395939]
chr14,76188634,76188648,-,[395942]
chr14,76191632,76191680,-,[395943]
chr14,76312211,76312227,-,[395987]
chr14,76322495,76322554,-,[395988]
chr14,76338195,76338209,-,[395998]
chr14,76338654,76338675,-,[395999]
chr14,76355564,76355588,-,[396006]
chr14,76414291,76414306,-,[396020]
chr14,76425679,76425701,-,[396030]
chr14,76429162,76429176,-,[396031]
chr14,76449160,76449179,-,[396034]
chr14,76449410,76449426,-,[396035]
chr14,76455305,76455327,-,[396037]
chr14,76473642,76473679,-,[396042]
chr14,76474279,76474293,-,[396043]
chr14,76474320,76474336,-,[396043]
chr14,76503277,76503292,-,[396055]
chr14,76568853,76568867,-,[396095]
chr14,76570580,76570599,-,[396097]
chr14,76577158,76577172,-,[396098]
chr14,76579773,76579808,-,[396100]
chr14,76617263,76617277,-,[396123]
chr14,76622789,76622803,-,[396126]
chr14,76633543,76633562,-,[396136]
chr14,76657515,76657529,-,[396143]
chr14,76658228,76658243,-,[396144]
chr14,76658371,76658392,-,[396144]
chr14,76663142,76663156,-,[396148]
chr14,76673948,76673968,-,[396155]
chr14,76702379,76702395,-,[396176]
chr14,76760727,76760741,-,[396206]
chr14,76828753,76828767,-,[396240]
chr14,76848002,76848026,-,[396250]
chr14,76852196,76852252,-,[396253]
chr14,76857657,76857689,-,[396255]
chr14,76858915,76858930,-,[396257]
chr14,76875086,76875100,-,[396261]
chr14,76883456,76883478,-,[396266]
chr14,76903639,76903660,-,[396272]
chr14,76945162,76945178,-,[396286]
chr14,76952831,76952845,-,[396289]
chr14,76988714,76988738,-,[396296]
chr14,76988929,76988943,-,[396296]
chr14,77027224,77027238,-,[396302]
chr14,77032700,77032724,-,[396304]
chr14,77038009,77038035,-,[396311]
chr14,77081765,77081779,-,[396318]
chr14,77153381,77153397,-,[396329]
chr14,77157561,77157579,-,[396334]
chr14,77256005,77256019,-,[396345]
chr14,77272635,77272649,-,[396349]
chr14,77344177,77344192,-,[396360]
chr14,77383499,77383513,-,[396369]
chr14,77385338,77385353,-,[396370]
chr14,77417298,77417313,-,[396381]
chr14,77458500,77458520,-,[396389]
chr14,77476436,77476450,-,[396392]
chr14,77500084,77500099,-,[396400]
chr14,77518481,77518501,-,[396408]
chr14,77526364,77526382,-,[396415]
chr14,77536969,77536991,-,[396418]
chr14,77581143,77581162,-,[396432]
chr14,77634191,77634223,-,[396441]
chr14,77814811,77814825,-,[396476]
chr14,77820216,77820230,-,[396480]
chr14,77822046,77822062,-,[396482]
chr14,77835404,77835419,-,[396489]
chr14,77847262,77847276,-,[396498]
chr14,77875094,77875114,-,[396518]
chr14,77888409,77888423,-,[396526]
chr14,77889058,77889077,-,[396527]
chr14,77903880,77903928,-,[396535]
chr14,77911263,77911283,-,[396542]
chr14,77975949,77975964,-,[396564]
chr14,78006800,78006816,-,[396569]
chr14,78038630,78038649,-,[396571]
chr14,78171114,78171128,-,[396581]
chr14,78202924,78202938,-,[396583]
chr14,78225799,78225813,-,[396587]
chr14,78243743,78243761,-,[396590]
chr14,78299446,78299460,-,[396604]
chr14,78364919,78364939,-,[396636]
chr14,78395568,78395599,-,[396650]
chr14,78396963,78396978,-,[396651]
chr14,78460378,78460460,-,[396683]
chr14,78503008,78503023,-,[396698]
chr14,78526781,78526797,-,[396707]
chr14,78527096,78527111,-,[396708]
chr14,78558572,78558592,-,[396726]
chr14,78650786,78650800,-,[396756]
chr14,78651688,78651703,-,[396757]
chr14,78653432,78653446,-,[396758]
chr14,78662720,78662739,-,[396761]
chr14,78675037,78675063,-,[396765]
chr14,78678534,78678554,-,[396768]
chr14,78687774,78687810,-,[396776]
chr14,78699003,78699039,-,[396781]
chr14,78716138,78716152,-,[396788]
chr14,78728598,78728613,-,[396797]
chr14,78759585,78759604,-,[396814]
chr14,78765131,78765145,-,[396817]
chr14,78802677,78802699,-,[396831]
chr14,78815730,78815745,-,[396834]
chr14,78865807,78865821,-,[396848]
chr14,78881217,78881233,-,[396852]
chr14,78886381,78886395,-,[396854]
chr14,78900569,78900583,-,[396859]
chr14,78951083,78951107,-,[396876]
chr14,78954401,78954420,-,[396878]
chr14,78954461,78954477,-,[396878]
chr14,78991818,78991843,-,[396889]
chr14,79030994,79031016,-,[396895]
chr14,79053456,79053472,-,[396898]
chr14,79066307,79066322,-,[396901]
chr14,79124651,79124665,-,[396916]
chr14,79127268,79127313,-,[396918]
chr14,79129013,79129063,-,[396920]
chr14,79235459,79235482,-,[396953]
chr14,79247637,79247702,-,[396965]
chr14,79255823,79255852,-,[396967]
chr14,79255968,79256005,-,[396967]
chr14,79269795,79269811,-,[396974]
chr14,79269869,79269884,-,[396974]
chr14,79284901,79284927,-,[396986]
chr14,79287289,79287304,-,[396987]
chr14,79288392,79288408,-,[396989]
chr14,79291220,79291239,-,[396995]
chr14,79293953,79293969,-,[397000]
chr14,79294805,79294821,-,[397002]
chr14,79314678,79314700,-,[397018]
chr14,79315782,79315808,-,[397019]
chr14,79326990,79327019,-,[397022]
chr14,79366901,79366915,-,[397031]
chr14,79434618,79434634,-,[397043]
chr14,79434751,79434772,-,[397043]
chr14,79464444,79464467,-,[397055]
chr14,79484168,79484197,-,[397065]
chr14,79491823,79491837,-,[397071]
chr14,79494710,79494724,-,[397072]
chr14,79497661,79497680,-,[397073]
chr14,79499447,79499463,-,[397074]
chr14,79503871,79503886,-,[397079]
chr14,79510510,79510529,-,[397083]
chr14,79514030,79514046,-,[397086]
chr14,79515564,79515580,-,[397088]
chr14,79515780,79515796,-,[397089]
chr14,79521270,79521290,-,[397096]
chr14,79521821,79521835,-,[397098]
chr14,79521853,79521867,-,[397098]
chr14,79522677,79522693,-,[397099]
chr14,79524491,79524527,-,[397101]
chr14,79529651,79529667,-,[397104]
chr14,79533936,79533951,-,[397111]
chr14,79538189,79538208,-,[397115]
chr14,79538227,79538241,-,[397115]
chr14,79538480,79538495,-,[397116]
chr14,79543481,79543495,-,[397121]
chr14,79543621,79543640,-,[397121]
chr14,79549269,79549284,-,[397125]
chr14,79549744,79549759,-,[397126]
chr14,79557981,79558005,-,[397134]
chr14,79591155,79591171,-,[397147]
chr14,79601928,79601947,-,[397150]
chr14,79616796,79616811,-,[397153]
chr14,79617514,79617528,-,[397155]
chr14,79633354,79633368,-,[397157]
chr14,79653480,79653494,-,[397163]
chr14,79737988,79738003,-,[397175]
chr14,79743231,79743253,-,[397176]
chr14,79898866,79898882,-,[397196]
chr14,80003150,80003174,-,[397206]
chr14,80003298,80003313,-,[397206]
chr14,80074207,80074223,-,[397217]
chr14,82065392,82065411,-,[397243]
chr14,82065534,82065556,-,[397243]
chr14,82753264,82753279,-,[397251]
chr14,82784800,82784814,-,[397252]
chr14,82800703,82800721,-,[397254]
chr14,82913532,82913551,-,[397260]
chr14,82924269,82924297,-,[397263]
chr14,82979150,82979164,-,[397270]
chr14,83010597,83010619,-,[397274]
chr14,83282069,83282085,-,[397276]
chr14,84673726,84673748,-,[397300]
chr14,85033963,85033977,-,[397308]
chr14,85033978,85033993,-,[397308]
chr14,85552941,85552956,-,[397323]
chr14,85898012,85898038,-,[397328]
chr14,86233457,86233476,-,[397365]
chr14,86294726,86294770,-,[397376]
chr14,86422237,86422271,-,[397394]
chr14,86430993,86431007,-,[397396]
chr14,86468026,86468040,-,[397404]
chr14,86468143,86468160,-,[397404]
chr14,86474977,86474992,-,[397405]
chr14,86485164,86485179,-,[397407]
chr14,86572786,86572806,-,[397414]
chr14,86682091,86682120,-,[397434]
chr14,86687364,86687383,-,[397436]
chr14,86714474,86714508,-,[397443]
chr14,86714528,86714550,-,[397443]
chr14,86731800,86731814,-,[397450]
chr14,86736747,86736771,-,[397454]
chr14,86744362,86744382,-,[397458]
chr14,86757642,86757658,-,[397463]
chr14,86808215,86808237,-,[397479]
chr14,86817750,86817764,-,[397480]
chr14,87019160,87019176,-,[397529]
chr14,87029344,87029358,-,[397535]
chr14,87044121,87044135,-,[397539]
chr14,87126195,87126217,-,[397573]
chr14,87147523,87147545,-,[397584]
chr14,87289963,87289977,-,[397598]
chr14,87313189,87313205,-,[397605]
chr14,87349103,87349117,-,[397608]
chr14,87416668,87416690,-,[397613]
chr14,87426820,87426839,-,[397621]
chr14,87427119,87427145,-,[397622]
chr14,87428341,87428360,-,[397625]
chr14,87442538,87442555,-,[397629]
chr14,87447084,87447098,-,[397634]
chr14,87452136,87452150,-,[397637]
chr14,87452208,87452224,-,[397637]
chr14,87455700,87455714,-,[397638]
chr14,87457560,87457574,-,[397639]
chr14,87476568,87476582,-,[397647]
chr14,87485979,87486003,-,[397650]
chr14,87486171,87486187,-,[397650]
chr14,87498402,87498421,-,[397655]
chr14,87544900,87544919,-,[397662]
chr14,87572587,87572602,-,[397670]
chr14,87573002,87573017,-,[397671]
chr14,87902544,87902558,-,[397675]
chr14,88270688,88270704,-,[397684]
chr14,88500918,88500934,-,[397695]
chr14,88982122,88982137,-,[397698]
chr14,89181615,89181642,-,[397702]
chr14,89245645,89245661,-,[397703]
chr14,89348206,89348222,-,[397705]
chr14,89573732,89573747,-,[397706]
chr14,89610794,89610808,-,[397709]
chr14,89720338,89720358,-,[397710]
chr14,89746818,89746832,-,[397711]
chr14,89776711,89776726,-,[397712]
chr14,90059823,90059837,-,[397720]
chr14,90438061,90438095,-,[397723]
chr14,91614454,91614468,-,[397729]
chr14,91716210,91716229,-,[397730]
chr14,93191673,93191687,-,[397744]
chr14,93317670,93317686,-,[397751]
chr14,93475242,93475256,-,[397759]
chr14,93650338,93650352,-,[397763]
chr14,93785370,93785384,-,[397766]
chr14,94068781,94068797,-,[397777]
chr14,94081301,94081316,-,[397781]
chr14,94244507,94244526,-,[397786]
chr14,94249937,94249952,-,[397787]
chr14,94435344,94435358,-,[397791]
chr14,94442741,94442757,-,[397792]
chr14,95357313,95357327,-,[397813]
chr14,95543966,95543982,-,[397815]
chr14,95928272,95928286,-,[397819]
chr14,95949640,95949654,-,[397820]
chr14,95949790,95949806,-,[397820]
chr14,96065435,96065449,-,[397823]
chr14,96954719,96954741,-,[397830]
chr14,96954747,96954761,-,[397830]
chr14,96990902,96990922,-,[397835]
chr14,97029508,97029523,-,[397838]
chr14,97029569,97029592,-,[397838]
chr14,97039917,97039931,-,[397841]
chr14,97110349,97110368,-,[397846]
chr14,97152103,97152118,-,[397847]
chr14,97232804,97232833,-,[397858]
chr14,97328482,97328497,-,[397867]
chr14,97389332,97389359,-,[397875]
chr14,97389638,97389657,-,[397876]
chr14,97448743,97448762,-,[397882]
chr14,97496461,97496475,-,[397885]
chr14,97538487,97538503,-,[397889]
chr14,97558024,97558041,-,[397892]
chr14,97558222,97558242,-,[397892]
chr14,97613946,97613960,-,[397903]
chr14,97760925,97760939,-,[397912]
chr14,97782341,97782356,-,[397917]
chr14,97868608,97868622,-,[397927]
chr14,97879855,97879874,-,[397931]
chr14,97879906,97879922,-,[397931]
chr14,98116869,98116895,-,[397953]
chr14,98198949,98198973,-,[397965]
chr14,98198981,98199001,-,[397965]
chr14,98329257,98329272,-,[397968]
chr14,98331482,98331502,-,[397969]
chr14,98396594,98396613,-,[397972]
chr14,98489402,98489426,-,[397983]
chr14,98506568,98506628,-,[397986]
chr14,98614557,98614579,-,[397996]
chr14,98614789,98614803,-,[397996]
chr14,98729035,98729051,-,[398005]
chr14,98729177,98729192,-,[398005]
chr14,98811500,98811514,-,[398017]
chr14,98848616,98848635,-,[398020]
chr14,98869284,98869323,-,[398022]
chr14,98891652,98891685,-,[398035]
chr14,98896099,98896182,-,[398036]
chr14,98906549,98906573,-,[398040]
chr14,98909350,98909366,-,[398043]
chr14,99100263,99100290,-,[398082]
chr14,99104828,99104843,-,[398083]
chr14,99117699,99117713,-,[398087]
chr14,99124956,99124978,-,[398090]
chr14,99131212,99131227,-,[398093]
chr14,99200634,99200656,-,[398104]
chr14,99211888,99211915,-,[398106]
chr14,99262550,99262565,-,[398114]
chr14,99266347,99266380,-,[398118]
chr14,99281773,99281805,-,[398127]
chr14,99305687,99305703,-,[398132]
chr14,99326197,99326217,-,[398140]
chr14,99362842,99362861,-,[398145]
chr14,99393889,99393903,-,[398151]
chr14,99394029,99394043,-,[398151]
chr14,99404738,99404753,-,[398152]
chr14,99405454,99405468,-,[398153]
chr14,99449798,99449822,-,[398162]
chr14,99450388,99450404,-,[398164]
chr14,99467578,99467597,-,[398170]
chr14,99551635,99551650,-,[398182]
chr14,99573687,99573702,-,[398188]
chr14,99586808,99586824,-,[398193]
chr14,99588080,99588120,-,[398194]
chr14,99599221,99599236,-,[398196]
chr14,99599252,99599273,-,[398196]
chr14,99771062,99771076,-,[398215]
chr14,99826812,99826831,-,[398220]
chr14,99847744,99847759,-,[398222]
chr14,99894817,99894831,-,[398235]
chr14,99897933,99897953,-,[398236]
chr14,99933715,99933734,-,[398248]
chr14,99960569,99960583,-,[398256]
chr14,100045530,100045550,-,[398267]
chr14,100054375,100054391,-,[398268]
chr14,100095765,100095780,-,[398273]
chr14,100095823,100095843,-,[398273]
chr14,100096572,100096594,-,[398274]
chr14,100211333,100211359,-,[398292]
chr14,100226814,100226828,-,[398298]
chr14,100235010,100235047,-,[398299]
chr14,100235065,100235080,-,[398299]
chr14,100242906,100242921,-,[398303]
chr14,100280891,100280906,-,[398309]
chr14,100366630,100366646,-,[398327]
chr14,100424137,100424168,-,[398334]
chr14,100476562,100476578,-,[398344]
chr14,100482719,100482739,-,[398346]
chr14,100610087,100610101,-,[398356]
chr14,100725095,100725111,-,[398359]
chr14,100883219,100883234,-,[398367]
chr14,100937288,100937311,-,[398372]
chr14,101200718,101200738,-,[398387]
chr14,101380988,101381003,-,[398399]
chr14,101399558,101399572,-,[398401]
chr14,101468921,101468937,-,[398427]
chr14,101477312,101477328,-,[398432]
chr14,101488423,101488438,-,[398441]
chr14,101495572,101495593,-,[398442]
chr14,101511637,101511652,-,[398451]
chr14,101526762,101526781,-,[398459]
chr14,101529479,101529494,-,[398460]
chr14,101586401,101586417,-,[398480]
chr14,101587666,101587681,-,[398482]
chr14,101609357,101609376,-,[398496]
chr14,101638340,101638356,-,[398504]
chr14,101658337,101658352,-,[398518]
chr14,101659953,101659975,-,[398519]
chr14,101742360,101742374,-,[398545]
chr14,101779329,101779348,-,[398551]
chr14,101782131,101782150,-,[398552]
chr14,101819426,101819441,-,[398562]
chr14,101836179,101836203,-,[398571]
chr14,101845743,101845759,-,[398580]
chr14,101853483,101853499,-,[398585]
chr14,101853507,101853521,-,[398585]
chr14,101866871,101866887,-,[398589]
chr14,101912287,101912302,-,[398604]
chr14,102177255,102177274,-,[398630]
chr14,102177324,102177343,-,[398630]
chr14,102460854,102460876,-,[398646]
chr14,102476326,102476340,-,[398647]
chr14,102477293,102477309,-,[398648]
chr14,102516856,102516872,-,[398656]
chr14,102545309,102545345,-,[398659]
chr14,102565829,102565848,-,[398660]
chr14,102625025,102625039,-,[398676]
chr14,102686922,102686946,-,[398689]
chr14,102720108,102720126,-,[398694]
chr14,102781550,102781565,-,[398704]
chr14,102795133,102795184,-,[398710]
chr14,102811733,102811767,-,[398721]
chr14,102861822,102861838,-,[398744]
chr14,102940253,102940274,-,[398789]
chr14,102970991,102971005,-,[398801]
chr14,102973940,102973964,-,[398802]
chr14,103011867,103011883,-,[398816]
chr14,103011886,103011900,-,[398816]
chr14,103069856,103069874,-,[398843]
chr14,103098452,103098476,-,[398861]
chr14,103166545,103166564,-,[398879]
chr14,103186720,103186747,-,[398884]
chr14,103333450,103333469,-,[398906]
chr14,103363725,103363740,-,[398921]
chr14,103393524,103393569,-,[398928]
chr14,103405282,103405298,-,[398933]
chr14,103421577,103421591,-,[398934]
chr14,103427754,103427769,-,[398938]
chr14,103437975,103437995,-,[398941]
chr14,103464034,103464048,-,[398952]
chr14,103478098,103478117,-,[398964]
chr14,103479587,103479602,-,[398965]
chr14,103487136,103487158,-,[398970]
chr14,103488857,103488876,-,[398971]
chr14,103554234,103554260,-,[398997]
chr14,103557844,103557864,-,[398999]
chr14,103629122,103629137,-,[399011]
chr14,103630652,103630666,-,[399012]
chr14,103644262,103644278,-,[399013]
chr14,103654082,103654107,-,[399021]
chr14,103674595,103674615,-,[399034]
chr14,103719762,103719776,-,[399054]
chr14,103741758,103741777,-,[399060]
chr14,103742373,103742389,-,[399061]
chr14,103777684,103777724,-,[399069]
chr14,103778424,103778440,-,[399071]
chr14,103778563,103778577,-,[399072]
chr14,103792794,103792808,-,[399077]
chr14,103815664,103815683,-,[399089]
chr14,103818072,103818086,-,[399093]
chr14,103826484,103826498,-,[399095]
chr14,103832587,103832602,-,[399100]
chr14,103833745,103833759,-,[399102]
chr14,103833777,103833792,-,[399102]
chr14,103879489,103879511,-,[399115]
chr14,103885193,103885207,-,[399117]
chr14,103897862,103897877,-,[399122]
chr14,103929440,103929464,-,[399137]
chr14,103929854,103929868,-,[399138]
chr14,103956243,103956283,-,[399149]
chr14,104350051,104350066,-,[399181]
chr14,104454095,104454111,-,[399187]
chr14,104460983,104461002,-,[399191]
chr14,105131488,105131502,-,[399280]
chr14,105176155,105176175,-,[399295]
chr14,105225939,105225955,-,[399308]
chr14,105258541,105258555,-,[399314]
chr14,105262381,105262411,-,[399317]
chr14,105262580,105262596,-,[399317]
chr14,105263902,105263926,-,[399318]
chr14,105263939,105263964,-,[399318]
chr14,105272760,105272774,-,[399323]
chr14,105274803,105274817,-,[399324]
chr14,105287846,105287874,-,[399328]
chr14,105288245,105288259,-,[399329]
chr14,105288671,105288687,-,[399330]
chr14,105296299,105296322,-,[399333]
chr14,105296438,105296452,-,[399333]
chr14,105302869,105302883,-,[399336]
chr14,105309316,105309338,-,[399338]
chr14,105368007,105368045,-,[399358]
chr14,105435385,105435405,-,[399380]
chr14,105489928,105489950,-,[399394]
chr14,105499224,105499249,-,[399398]
chr14,105499736,105499752,-,[399400]
chr14,105505066,105505084,-,[399404]
chr14,105524774,105524790,-,[399411]
chr14,105579759,105579773,-,[399428]
chr14,105590924,105590938,-,[399434]
chr14,105598810,105598826,-,[399436]
chr14,105618814,105618833,-,[399443]
chr14,105638949,105638993,-,[399452]
chr14,105641091,105641105,-,[399454]
chr14,105700525,105700541,-,[399480]
chr14,105726012,105726028,-,[399484]
chr14,105736749,105736764,-,[399491]
chr14,105851725,105851740,-,[399513]
chr14,105886810,105886840,-,[399522]
chr14,105979797,105979811,-,[399539]
chr14,106030284,106030298,-,[399557]
chr14,106052725,106052740,-,[399563]
chr14,106067123,106067138,-,[399566]
chr14,106088108,106088122,-,[399569]
chr14,106088569,106088583,-,[399570]
chr14,106162563,106162582,-,[399579]
chr14,106179949,106179963,-,[399584]
chr14,106202283,106202307,-,[399588]
chr14,106210875,106210890,-,[399589]
chr14,106211626,106211642,-,[399591]
chr14,106249468,106249490,-,[399595]
chr14,106384971,106384985,-,[399604]
chr14,106385078,106385094,-,[399604]
chr14,106394084,106394100,-,[399608]
chr14,106394204,106394220,-,[399608]
chr14,106668466,106668503,-,[399619]
chr14,106681489,106681505,-,[399622]
chr14,106681665,106681679,-,[399623]
chr14,106687476,106687490,-,[399624]
chr14,107028879,107028893,-,[399631]
chr14,107046966,107046980,-,[399633]
chr14,107052459,107052483,-,[399635]
chr14,107803274,107803288,-,[399640]
chr14,109255704,109255720,-,[399668]
chr14,109256073,109256087,-,[399669]
chr14,109283393,109283414,-,[399670]
chr14,109284965,109284981,-,[399671]
chr14,109516410,109516425,-,[399674]
chr14,110624019,110624035,-,[399685]
chr14,110765766,110765785,-,[399689]
chr14,111617816,111617831,-,[399697]
chr14,111673201,111673221,-,[399698]
chr14,112895845,112895869,-,[399722]
chr14,112943180,112943195,-,[399723]
chr14,113765694,113765718,-,[399729]
chr14,114723358,114723382,-,[399732]
chr14,115054504,115054519,-,[399735]
chr14,115126563,115126598,-,[399748]
chr14,115129248,115129262,-,[399749]
chr14,115129374,115129390,-,[399749]
chr14,115130569,115130583,-,[399750]
chr14,115201576,115201590,-,[399764]
chr14,115206203,115206225,-,[399765]
chr14,115206530,115206550,-,[399766]
chr14,115252413,115252429,-,[399776]
chr14,115468214,115468233,-,[399810]
chr14,115485194,115485208,-,[399815]
chr14,115600327,115600349,-,[399819]
chr14,115819280,115819303,-,[399821]
chr14,115984253,115984273,-,[399828]
chr14,115984382,115984413,-,[399828]
chr14,116044580,116044601,-,[399829]
chr14,116044660,116044680,-,[399829]
chr14,116217020,116217039,-,[399836]
chr14,117395175,117395191,-,[399880]
chr14,117412102,117412116,-,[399881]
chr14,117415123,117415139,-,[399882]
chr14,117415221,117415235,-,[399882]
chr14,117430988,117431002,-,[399884]
chr14,117431008,117431023,-,[399884]
chr14,117480309,117480324,-,[399887]
chr14,117591883,117591907,-,[399903]
chr14,117683227,117683268,-,[399917]
chr14,117689444,117689458,-,[399919]
chr14,117762200,117762224,-,[399937]
chr14,117766227,117766256,-,[399940]
chr14,117766279,117766297,-,[399940]
chr14,117831863,117831879,-,[399959]
chr14,117938878,117938916,-,[399979]
chr14,117990402,117990416,-,[399988]
chr14,118039229,118039245,-,[400000]
chr14,118083972,118083991,-,[400014]
chr14,118178503,118178517,-,[400036]
chr14,118180916,118180950,-,[400040]
chr14,118182617,118182652,-,[400041]
chr14,118188257,118188285,-,[400042]
chr14,118220985,118221005,-,[400050]
chr14,118241642,118241661,-,[400069]
chr14,118274403,118274423,-,[400072]
chr14,118423492,118423512,-,[400106]
chr14,118423517,118423531,-,[400106]
chr14,118428861,118428913,-,[400109]
chr14,118431773,118431789,-,[400113]
chr14,118474932,118474946,-,[400129]
chr14,118560889,118560923,-,[400147]
chr14,118578001,118578016,-,[400151]
chr14,118604987,118605029,-,[400162]
chr14,118635376,118635395,-,[400171]
chr14,118702488,118702512,-,[400221]
chr14,118716035,118716050,-,[400229]
chr14,118735280,118735310,-,[400238]
chr14,118737371,118737387,-,[400239]
chr14,118751052,118751087,-,[400243]
chr14,118761058,118761077,-,[400244]
chr14,118768103,118768117,-,[400248]
chr14,118774594,118774608,-,[400250]
