Gene,Gene_chr,Gene_start,Gene_end,Gene_dir,HH_dist,TnG_dist,Joris_aTreg_IAA_over_Joris_aTreg_WT_Log2FC,Joris_aTreg_IAA_over_Joris_aTreg_WT_padj
Pik3r2,chr8,70768175,70776713,-,-15948,318,-0.083932539,0.918335934
Txlng,chrX,162778918,162829454,-,-3070699,73167,0.045844483,0.898113995
Usf3,chr16,44173245,44227465,+,268407,-34025,0.001028007,0.998820542
Traj18,chr14,54200776,54200842,+,16139,-2611,-0.094779176,0.877215955
Ppm1f,chr16,16896468,16927364,+,1460877,-25936,0.116514585,0.770539178
2900097C17Rik,chr2,156388064,156392979,-,726353,190,0.019805317,0.949241898
Cdk9,chr2,32705783,32713076,-,-554113,12454,-0.106712315,0.631432663
Gm26759,chr8,126566969,126590988,+,563042,0,0.107372782,0.889550819
Atf7,chr15,102525945,102625464,-,632894,0,0.004377362,0.992672747
Map4,chr9,109931459,110083955,+,-763125,-314,-0.080376474,0.789938077
Pagr1a,chr7,127015032,127017352,-,164529,14176,-0.275417856,0.417599104
Vti1b,chr12,79156016,79172667,-,123913,0,-0.000703248,0.999036795
Mia3,chr1,183326724,183369553,-,-88642,-88473,-0.002861836,0.992672747
Gfod1,chr13,43195244,43304172,-,0,0,-0.240705921,0.3366263
Ppp4r3a,chr12,101039408,101083702,-,897775,0,0.002603349,0.99315355
Ctps,chr4,120539867,120570276,-,223379,223191,0.034561428,0.97524248
Nkiras2,chr11,100619243,100627607,+,-1380526,-9073,-0.002437096,0.997229362
Gstcd,chr3,132981751,133092033,-,0,0,-0.184311598,0.758673126
Zfp664,chr5,124862690,124902693,+,41990,41976,-0.022416697,0.966358816
D16Ertd472e,chr16,78540337,78576708,-,1893679,0,0.125333871,0.592576031
Tle3,chr9,61372365,61418497,+,-120638,0,0.001012222,0.998506503
Gm43552,chr5,65427426,65492833,-,302654,0,-0.206281854,0.790038577
Gdi1,chrX,74304997,74311862,+,-337628,0,-0.140605357,0.543165858
Rtcb,chr10,85938636,85957823,-,-819845,-109351,-0.004772217,0.990314809
Gorasp2,chr2,70661575,70712636,+,-123048,-289,-0.041509733,0.921563823
Mcu,chr10,59446983,59616692,-,219951,0,0.139234986,0.584822716
Cyfip2,chr11,46193849,46312859,-,0,30970,0.100082266,0.429933448
Rps2,chr17,24718115,24721929,+,462374,0,-0.110869355,0.795401608
Mir3101,chr7,27176005,27176093,-,-8906,-8722,-0.044768772,1.0
Dis3,chr14,99075205,99099770,-,-1761476,1111557,0.030424402,0.967511275
Mrgbp,chr2,180581303,180586304,+,733196,2655,-0.156849353,0.6283348
Psmf1,chr2,151715811,151744186,-,1031391,549500,-0.02950317,0.949203889
Magi3,chr3,104013258,104220374,-,-232219,-21774,-0.296570662,0.21932787
Pkmyt1,chr17,23726335,23736735,+,1447568,-105513,-0.247992282,0.52953411
Snhg1,chr19,8723474,8726443,+,44488,-11329,0.213874844,0.707949553
Grpel1,chr5,36464997,36474080,+,386421,64599,-0.091114755,0.838129891
Gm15710,chr5,92140293,92140929,-,234058,104773,-0.012245217,0.986681332
Rnf38,chr4,44126209,44233789,-,37648,0,-0.000241796,0.999576123
Nap1l1,chr10,111473222,111498150,+,-464964,18039,-0.021955337,0.977380967
Tgds,chr14,118111910,118132755,-,100903,-22389,0.261334066,0.477422988
Zc3hc1,chr6,30366379,30391028,-,842287,129,-0.032182548,0.97524248
Ttll5,chr12,85824658,86061893,+,0,0,-0.487970398,0.001496665
Cse1l,chr2,166906039,166946389,+,-19685,-123,-0.036875426,0.94720011
2610008E11Rik,chr10,79064373,79097600,-,-459044,0,-0.096183341,0.821023276
Isca1,chr13,59755408,59769810,-,-50329,-50342,-0.010368672,0.986509327
Dnajb5,chr4,42949813,42959425,+,2402,2601,-0.014365145,0.98713795
Klc1,chr12,111758848,111807844,+,-26332,159427,-0.09737886,0.645726076
Zbtb46,chr2,181387761,181459426,-,-68245,0,-0.303474813,0.607922292
Gm43513,chr5,100814209,100815285,-,-85404,-93807,-0.105931444,1.0
BC037032,chr15,4020113,4027405,-,1209985,-24818,-0.34615733,0.665725317
Sec23b,chr2,144556228,144590749,+,9645,-486,-0.094178784,0.845046554
Mir1893,chr18,6490563,6490646,-,274245,-399,-0.397190453,0.479844291
Mtmr2,chr9,13748409,13806481,+,437972,4733,-0.075068256,0.860445125
Ubap2l,chr3,90000139,90052628,-,-299276,0,-0.0272093,0.915977946
Arhgef6,chrX,57231484,57338729,-,0,0,0.139341893,0.452202367
Mfng,chr15,78755881,78773475,-,-72074,96593,0.210886348,0.512122414
Birc6,chr17,74528294,74703356,+,14385,-39121,0.022431003,0.929994437
Arc,chr15,74669082,74672570,-,-1087800,14852,-0.516848968,0.479459663
Pithd1,chr4,135975459,135987264,-,102566,-20893,-0.240467286,0.414569877
Mlh3,chr12,85234519,85270599,-,157210,0,-0.039385764,0.950826893
Acbd4,chr11,103101681,103112200,+,56751,3357,-0.11716086,0.855959784
Rrp9,chr9,106475962,106485424,+,1041348,-46596,-0.200607714,0.518888337
Rps12-ps4,chr7,30484700,30485097,-,124044,7710,-0.010551134,0.99699336
Ccny,chr18,9312303,9450154,-,19336,19138,0.047125294,0.893133717
Nup188,chr2,30286396,30344266,+,-157280,19513,-0.175093578,0.314875436
Serp2,chr14,76532813,76556889,-,-1016713,25892,0.263560402,0.714538156
Rc3h1,chr1,160906417,160974978,+,0,0,0.006554939,0.98713795
Card19,chr13,49202949,49216037,-,-223720,54255,-0.082575888,0.902282207
Kidins220,chr12,24974924,25063152,+,178717,0,0.065134966,0.653175263
Ptpn1,chr2,167932056,167979385,+,-189327,0,-0.117870712,0.5394396
Fbxo42,chr4,141147912,141204062,+,-546532,0,-0.030216833,0.946924592
Arhgap1,chr2,91649859,91672326,+,281768,38202,0.19066964,0.266095851
Timm17a,chr1,135295212,135313778,-,356435,-10636,0.243526466,0.389530457
Xpa,chr4,46155346,46196311,-,565660,264,-0.15663984,0.496601283
Lrpprc,chr17,84705246,84790789,-,-374433,0,0.089351078,0.709977786
Gm6341,chr7,101154644,101155055,-,-59753,-40940,0.523406955,0.34185861
Gstp-ps,chr1,192073819,192074450,-,-85044,12412,-0.129716957,0.907237043
Nkiras1,chr14,18271135,18284003,+,-32521,47144,0.105219032,0.844032124
Nhsl2,chrX,101849384,102092055,+,1500691,0,0.299079074,0.731654175
Zmat2,chr18,36793875,36799666,+,-883322,-33850,0.094710674,0.71969255
Ankrd16,chr2,11777875,11790329,+,-88372,-71380,0.250302374,0.162555909
Gm44941,chr6,86372537,86375285,-,1127648,28737,-0.239593293,1.0
Mex3d,chr10,80380354,80387659,-,288857,46507,-0.124195115,0.898936534
Gm12359,chr11,98797706,98810087,-,-283780,-8927,-0.069294238,0.898936534
Hnrnpul2,chr19,8820009,8834143,+,-794,-872,0.002800208,0.991510171
Usp42,chr5,143710324,143732280,-,-2404350,0,-0.109594594,0.62165273
Pfkfb3,chr2,11471432,11554077,-,135410,0,-0.006923119,0.986153911
Fau,chr19,6057843,6059524,+,67012,1642,-0.095081705,0.657609456
Insig2,chr1,121304352,121332589,-,-1203883,0,0.255664461,0.492668651
Nek6,chr2,38511642,38594606,+,0,0,0.0685535,0.907721412
Fanci,chr7,79391928,79450264,+,742403,0,0.050636286,0.970827632
Ppig,chr2,69722544,69754012,+,735593,24994,-0.014425082,0.970213794
Casd1,chr6,4600838,4643355,+,245408,245394,-0.002379759,0.997229362
Calm2,chr17,87433411,87446935,-,-150072,322,-0.090316688,0.676623346
Ivd,chr2,118861953,118882909,+,164024,13767,-0.166901631,0.732371112
Pdp1,chr4,11958183,11966452,-,80260,0,-0.098002955,0.907748986
Fam160b1,chr19,57360679,57389586,+,-3768,-4861,0.161018258,0.370579869
Ccdc43,chr11,102684685,102697782,-,471169,-127926,0.130771664,0.756511595
Rnf157,chr11,116336352,116413032,-,-255321,0,0.050770844,0.965198289
Tpk1,chr6,43345000,43666278,-,-1790703,-146593,0.19388016,0.843081975
Gm37376,chr19,5801940,5802393,+,75460,-8775,-0.069645525,0.898936534
Klhdc10,chr6,30401867,30455179,+,778136,-471,0.19565825,0.530039312
Clptm1,chr7,19631570,19665033,-,194830,266,-0.092430336,0.657582363
Sumo3,chr10,77606096,77618331,+,-69056,0,-0.009187779,0.986681332
Pym1,chr10,128747888,128766564,+,-292538,-1518,0.130425578,0.559411458
Dynlt1c,chr17,6601670,6609774,+,168694,168565,0.198926698,0.695232927
Erh,chr12,80634021,80644341,-,-171017,0,0.102422924,0.849239073
Hars2,chr18,36783007,36792562,+,-872454,-22982,-0.074088396,0.819542273
Rab14,chr2,35180204,35201120,-,-10957,7867,0.124713828,0.348215189
Mef2a,chr7,67231162,67372858,-,17100,49259,0.118720318,0.703860235
Scyl3,chr1,163929099,163955126,+,1238416,39390,0.136008327,0.494233114
Gm46620,chr18,82694286,82701336,+,64319,64005,0.186188182,0.663059821
Nipbl,chr15,8290616,8444463,-,222804,0,0.03416146,0.918335934
Snhg3,chr4,132348013,132353686,-,48,-2740,-0.197802632,0.72942942
Epm2aip1,chr9,111271928,111279093,+,-364316,-614949,0.063815261,0.838032035
Cct6a,chr5,129786997,129846371,+,41328,-44,0.108226642,0.749449132
B230319C09Rik,chr6,83441754,83448322,+,8868,-293,-0.264380693,0.486911937
Nudt14,chr12,112934290,112942124,-,132281,-64178,-0.019906952,0.986509327
Srp68,chr11,116245165,116274217,-,-164134,-46181,-0.189629659,0.289769169
Paxx,chr2,25455140,25461094,-,73913,73011,-0.073081416,0.910218047
Nup43,chr10,7667502,7678881,+,-66794,-66642,0.127790115,0.899728072
Adcy7,chr8,88272402,88329962,+,-1564566,0,-0.006938983,0.986681332
Bod1,chr11,31665180,31671885,-,-385796,220385,-0.141646371,0.853014676
Drg2,chr11,60454590,60468754,+,-369589,-37293,-0.12267933,0.767101578
Carns1,chr19,4164323,4175479,-,-19177,0,0.03372509,0.969610048
Ercc3,chr18,32240299,32270151,+,-219521,-198,-0.016639439,0.974998183
Cherp,chr8,72460488,72475226,-,-169167,-95316,-0.107204972,0.57092081
Vps35,chr8,85260391,85299802,-,-534324,109700,0.042050539,0.942220106
Smarcc2,chr10,128459247,128490482,+,-3897,8536,-0.0909635,0.608517548
Bag4,chr8,25764537,25785287,-,163656,-9732,0.132673729,0.791460974
Ecsit,chr9,22072245,22085438,-,-412,215,0.014924476,0.985710154
Elmod2,chr8,83312631,83332486,-,95227,0,0.149744299,0.709592264
Iws1,chr18,32067740,32104328,+,-46962,-46944,-0.071698483,0.763044386
Csf1r,chr18,61100597,61132149,+,-147816,55976,-0.160736548,0.874878433
Usp25,chr16,77013705,77116780,+,-591029,0,-0.048729013,0.801806583
Ercc4,chr16,13109683,13150617,+,-82382,-206,0.146152325,0.509513011
Kdm3b,chr18,34777046,34838660,+,-113820,0,0.083351454,0.69902429
Xpo1,chr11,23256040,23298249,+,107536,107525,-0.00278489,0.99811546
Hmg20a,chr9,56418608,56496936,+,0,0,-0.081338043,0.707975048
Nedd9,chr13,41309580,41487362,-,-387017,0,0.073048351,0.702442764
Dnah17,chr11,118021722,118130634,-,-150081,13382,-0.184774533,0.592156935
Atg4a,chrX,140956906,141164270,+,-6001,-6004,0.247337857,0.599066547
Ccdc28b,chr4,129619273,129623947,-,17658,0,0.123952858,0.860579057
Slc25a16,chr10,62920632,62946498,+,-136104,196,0.536563195,0.078448103
Dgcr8,chr16,18253947,18289246,-,98995,99008,-0.003086,0.996852586
Gm13703,chr2,73357267,73364333,+,21131,20955,0.581112208,1.0
Washc5,chr15,59331996,59374167,-,-225768,329,-0.026013236,0.94389378
Uimc1,chr13,55027879,55100300,-,344193,114,0.049510234,0.812643087
Als2,chr1,59162925,59237231,-,-187617,-187603,-0.276768767,0.212274384
Paxip1,chr5,27740079,27791691,-,-131374,2275,-0.011428845,0.985710154
Nudt16l1,chr16,4938760,4941032,+,2171770,-24863,0.086732841,0.870632524
Lgals9,chr11,78962973,78984946,-,25666,25727,-0.127676285,0.437169347
Lrrc25,chr8,70616154,70621483,+,130727,-4783,0.140226939,1.0
Gm26910,chr18,67773711,67774857,-,157125,24946,-0.253249933,0.850057118
Ccdc6,chr10,70097120,70193200,+,-1855866,0,-0.105664462,0.373251762
Gm11583,chr11,97160989,97161675,+,460775,-20020,0.097806004,0.945958545
Anxa7,chr14,20455259,20480133,-,-485751,-66278,0.221584354,0.435126631
Etf1,chr18,34902784,34932007,-,-239558,288,0.129183079,0.531488507
Rab2a,chr4,8535643,8607778,+,26760,-415,0.173750836,0.428530861
Tbc1d10c,chr19,4183410,4191284,-,-38264,-1427,0.036177263,0.901428168
Pigyl,chr9,22156845,22158358,+,-85012,66633,-0.481365073,0.392237175
Atic,chr1,71557149,71579631,+,-664065,-573730,0.063799827,0.831624837
Tns3,chr11,8431651,8664681,-,-1751654,346095,-0.440225363,1.0
Gm7043,chr17,3461799,3462332,-,216816,43211,0.756456457,1.0
Gm45641,chr8,90848033,90849846,-,232787,37307,-0.052371998,0.983680995
Pnpt1,chr11,29130743,29161828,+,0,0,0.063699337,0.889550819
Ppp1r12c,chr7,4481519,4501680,-,183474,-16989,-0.033749989,0.937762576
Trim28,chr7,12999113,13031035,+,-1173009,-6666,-0.18406451,0.231000383
Zfp280b,chr10,76032649,76043234,+,-292287,0,0.072691035,0.859920868
Sinhcaf,chr6,148921034,148946467,-,247244,12479,0.086673523,0.863933406
Gm12992,chr4,131899477,131920029,-,433705,-26104,-0.27352792,0.046416086
Nop56,chr2,130274429,130279313,+,-1851671,-94875,0.070499645,0.868623605
Pfdn6,chr17,33938820,33940343,-,11028,22992,0.073572716,0.906213123
Trav16,chr14,53743103,53743705,+,473276,-93637,0.529508217,0.509156656
Vav1,chr17,57279099,57328031,+,-651523,0,-0.054889801,0.806804772
Eif4g3,chr4,137993021,138208508,+,-100657,0,-0.082420349,0.53120898
Parp6,chr9,59617283,59650285,+,145098,-356,0.020431849,0.97524248
Rbm6,chr9,107773558,107873237,-,-185084,14496,-0.022353414,0.951557384
Bin1,chr18,32377229,32435737,+,162704,0,0.031384813,0.928126641
Hdgf,chr3,87906320,87916132,+,126842,0,-0.056423071,0.848399054
Brpf3,chr17,28801089,28839949,+,597701,42680,-0.172087429,0.509513011
Glb1,chr9,114401075,114474898,+,0,0,0.074942788,0.896022245
Mrpl51,chr6,125191800,125196269,+,41346,25903,0.247976685,0.479999606
St3gal1,chr15,67102874,67176830,-,-241135,0,-0.035169676,0.91601967
Pigt,chr2,164497519,164508301,+,36382,13491,-0.013489605,0.96765313
Gm6210,chr6,75296117,75298059,-,-2177876,-2047664,-0.099976048,0.862531847
Apobec2,chr17,48419230,48432930,-,0,-93146,0.67075113,0.234853209
Faap100,chr11,120369054,120378764,-,-865145,114034,-0.156696077,0.70368088
Kbtbd11,chr8,15011024,15033333,+,-56417,0,0.039059825,0.902282207
Tmem14a,chr1,21218574,21230167,+,-1083053,74576,-0.405716572,0.655461994
Tshz3,chr7,36698117,36773553,+,-1465451,-706490,-0.583794365,1.0
Myl12b,chr17,70973132,70990890,-,71301,0,0.073783106,0.763570562
Ctdsp1,chr1,74391508,74397285,+,219857,0,-0.126647704,0.647304879
Cbx5,chr15,103191543,103239816,-,18542,0,-0.004074679,0.997017376
Chst12,chr5,140505549,140525724,+,0,0,-0.041452092,0.95832449
Mrpl10,chr11,97041559,97049213,+,-536817,-44,-0.106266876,0.807365716
Nadsyn1,chr7,143795583,143822849,-,-146170,-82628,-0.269346841,0.567402386
2810013P06Rik,chr8,123042465,123044602,+,0,0,0.078788874,0.935378147
Hira,chr16,18877036,18970309,+,-488779,-18105,-0.09696865,0.700101228
Uqcr11,chr10,80402996,80406830,-,269686,27336,0.135281264,0.780941442
Cotl1,chr8,119809221,119840544,-,57353,0,0.030106655,0.912391498
9930111J21Rik2,chr11,49015873,49051242,-,153405,20937,0.008149249,0.988501213
Gm26770,chr6,128356003,128358837,+,-720948,401426,-0.115192868,0.905496931
Immt,chr6,71831330,71877388,+,0,0,0.109589087,0.750441334
Fam76b,chr9,13827715,13854987,+,389466,-16359,0.156936462,0.473237366
C1d,chr11,17257578,17269176,+,3046786,0,0.176733472,0.813243044
Zfp51,chr17,21450373,21465587,+,-2451537,0,-0.000579775,0.999480498
Gm25894,chr19,8724250,8724325,+,46606,-12105,0.155211592,1.0
Smu1,chr4,40736541,40757923,-,-56039,-15446,0.133823748,0.587624663
Gm28539,chr16,18836583,18956247,+,-448326,0,-0.097805083,0.745913186
Wdhd1,chr14,47240943,47276857,-,-135393,0,-0.082637123,0.942635864
Cdc40,chr10,40831620,40883311,-,-287895,-118436,0.14961492,0.538835346
C2cd2l,chr9,44309236,44320285,-,325794,-39810,-0.192893748,0.518230354
Selenow,chr7,15917207,15922402,-,0,23978,-0.092942842,0.747070791
Ubxn11,chr4,134102569,134127593,+,242934,0,0.035317907,0.930016182
Ubr3,chr2,69897245,70024013,+,465592,0,0.05108322,0.785021513
Ezh2,chr6,47530138,47595341,-,0,40151,-0.124226379,0.766058767
Gm8494,chr5,146574887,146576120,+,755749,-7144,-0.241275409,0.747595081
Acss2os,chr2,155547039,155556930,-,0,116719,0.419789221,0.55779423
Polb,chr8,22628125,22653435,-,127144,59049,-0.231419184,0.445637051
Arhgap18,chr10,26753420,26918648,+,-619858,0,0.201870845,0.441879944
Sel1l,chr12,91806042,91849157,-,-94116,0,-0.040152147,0.891953914
Rpl7a-ps11,chrX,166854210,166855011,+,264465,181813,0.017323434,0.990109159
Trim12a,chr7,104299893,104315466,-,-8792,0,0.129704213,0.611767713
Ebna1bp2,chr4,118620798,118627776,+,-211726,-211800,-0.042641023,0.932922047
Slc19a1,chr10,77032240,77061002,+,476022,-233213,-0.266535018,0.456667007
Gm10257,chr13,100946404,100946815,-,-35012,0,-0.162964615,0.875900926
Map3k13,chr16,21794345,21933439,+,-561466,-66233,-0.293359613,0.641268194
Tvp23a,chr16,10420556,10447362,-,730291,-21321,-0.017898772,0.981936024
Gm8995,chr7,106504238,106511671,-,-1104951,17589,0.157986731,0.565457689
Gm28496,chr7,44246725,44262720,+,-490339,291491,-0.300025091,0.70267433
Gm49594,chr16,34006842,34007457,-,1934168,-41566,-0.018559971,0.983118516
Pacs2,chr12,113014507,113074401,+,4,0,-0.067820029,0.863040025
Rpl10a-ps1,chr1,64993950,64994604,-,-284339,15839,-0.154494248,0.624236283
Mark2,chr19,7275395,7341860,-,-856618,41675,-0.05259113,0.745913186
Gm15872,chr1,193187273,193192379,+,1590,0,0.351516084,0.083993648
Ciao1,chr2,127240937,127247816,-,4573,4582,-0.057121043,0.896428141
Scaf4,chr16,90225679,90284503,-,0,0,-0.021950949,0.950568649
Malsu1,chr6,49073794,49086751,+,269798,0,0.013920827,0.986153911
Trmt13,chr3,116581092,116614587,-,98402,98414,0.142214123,0.767772197
Ubtf,chr11,102304559,102319742,-,849209,527,-0.210806428,0.239173666
Pusl1,chr4,155887878,155891781,-,-56368,-84510,-0.126059034,0.843213881
Thap2,chr10,115368403,115384443,-,-1004472,0,0.119809782,0.902282207
Npm3,chr19,45747733,45749591,-,-121259,34024,-0.083738139,0.840112135
Strap,chr6,137735077,137751932,+,-278385,4453,0.107755505,0.72942942
Slc25a5,chrX,36795650,36798807,+,3817729,0,-0.005846945,0.99315355
Zfas1,chr2,167062933,167065862,+,-176579,0,0.004329859,0.997017376
Rabl6,chr2,25583017,25608521,-,-47993,-48854,0.078179491,0.730966449
Gm26992,chrX,103422009,103481705,+,111041,110931,-0.184838763,0.981936024
Vamp1,chr6,125215550,125245964,+,0,0,0.003735735,0.994819364
Tram2,chr1,20996298,21079229,-,-860777,0,0.01297252,0.981936024
Gm17809,chr16,55883071,55884491,-,-44779,-19580,0.171066103,0.7114449
Bzw1,chr1,58392897,58407353,+,567938,15946,0.143938769,0.629193598
Sorl1,chr9,41964719,42124297,-,0,0,-0.095750896,0.803523639
Pde6h,chr6,136923831,136968865,+,0,0,0.03599638,0.943995662
Ctnnbl1,chr2,157737400,157891614,+,275310,275512,-0.142353351,0.516430826
Ankrd11,chr8,122883821,123042277,-,0,0,-0.003304885,0.992462658
Prelid3b,chr2,174465066,174473081,-,-397126,111597,0.241193858,0.354603086
Immp1l,chr2,105904637,105965558,+,683642,683602,0.228815814,0.819673318
Gm4613,chr7,25828601,25828877,-,-53657,-1095,0.331930839,0.691053422
Ccdc66,chr14,27481089,27508460,-,-141646,-68224,-0.017344626,0.978524826
Rpf2,chr10,40223245,40247036,-,-59685,10861,0.334934062,0.463482825
Gm35558,chr12,110596607,110597106,-,-100574,-4570,-0.22870734,0.658404143
Gm35558,chr12,110597155,110597359,-,-101122,-5118,-0.22870734,0.658404143
Gm35558,chr12,110599744,110601963,-,-103711,-7707,-0.22870734,0.658404143
Nelfcd,chr2,174415803,174427502,+,-347863,157176,-0.17157262,0.53120898
Tecpr1,chr5,144194441,144223615,-,-2888467,0,0.26320268,0.041952338
Zrsr2,chrX,163935442,163958661,-,3160815,460633,-0.050446243,0.901428168
Tsix,chrX,103431516,103484957,+,107789,107679,-0.121883302,0.985710154
1300002E11Rik,chr16,21794317,21809040,+,-561438,-66205,0.156752528,0.728121013
Ccdc124,chr8,70868226,70873935,-,-115999,-2202,0.013263486,0.986509327
Tbccd1,chr16,22813213,22857669,-,286800,0,0.525567028,0.039769872
Ppm1g,chr5,31202663,31220687,-,296132,-91595,-0.038944904,0.901512425
Mtrf1l,chr10,5811886,5823910,-,155515,0,0.198452885,0.556855202
Phb,chr11,95666956,95680773,+,-302638,7821,-0.057457639,0.901428168
Rcc1l,chr5,134148053,134176774,-,59877,7301,-0.126962526,0.893599593
Washc4,chr10,83543751,83596473,+,122636,0,0.055862874,0.916888577
Chrac1,chr15,73090391,73097554,+,20707,57772,-0.009092354,0.987571751
Gm47071,chr13,55826249,56084849,+,0,0,0.122154658,0.65750397
Tfam,chr10,71225463,71238280,-,1416661,46958,0.070953803,0.899802307
Fam32a,chr8,72219729,72224418,+,66887,15345,-0.012377157,0.97942843
Gm16973,chr14,56696279,56701268,-,-21235,-21242,0.358556164,0.349523727
Armc5,chr7,128237341,128245100,+,-103239,-103203,-0.137221409,0.683815017
Jun,chr4,95049033,95052222,-,68440,291,-1.586263775,3.19e-05
Rpl7a,chr2,26910763,26913318,+,491097,-241656,-0.030642439,0.90625856
Ogfr,chr2,180589244,180595836,+,723664,-265,-0.078398977,0.819542273
Slc35e2,chr4,155601415,155623340,+,208154,-711,0.043230495,0.907748986
Mllt10,chr2,18055236,18212388,+,0,0,0.056584534,0.869460146
Asb3,chr11,30885415,31102704,+,-108726,0,0.097982486,0.82198302
Dtymk,chr1,93792575,93801934,-,-448372,23625,0.244695509,0.496595584
Dck,chr5,88764995,88783281,+,114346,-75306,0.096936185,0.853995451
Gramd4,chr15,86057694,86137634,+,-2138038,-11793,-0.063378726,0.882635666
Sap18b,chr8,95825345,95826134,+,327127,-17474,0.174385352,0.876871824
Gm36298,chr13,62639885,62643252,-,-169666,9903,0.239880544,0.889550819
Gm13408,chr2,34564998,34565796,+,603206,397482,0.012845294,0.986153911
Akap8l,chr17,32321423,32350607,-,185794,-248001,-0.35202444,0.299841942
Srp9,chr1,182124736,182132407,+,-884015,0,0.050243482,0.918335934
Ttf2,chr3,100938859,100969663,-,-250704,-31911,-0.081982707,0.830543093
Wdfy1,chr1,79702261,79776143,-,1436376,0,0.524932907,0.008456231
Calm3,chr7,16915378,16924114,-,-232767,-40296,-0.080991857,0.818122476
Ppil4,chr10,7792890,7823135,+,40319,0,-0.017928984,0.962140802
Rpl3,chr15,80077790,80091868,-,218334,0,-0.076307714,0.680486373
Brd2,chr17,34112022,34122634,-,48824,-8889,-0.075647559,0.535402528
Cuta,chr17,26933818,26939569,-,194614,0,-0.198943749,0.387115911
Vapb,chr2,173737510,173784339,+,283585,0,0.071420251,0.83549295
Xpc,chr6,91489304,91515888,-,1689577,163198,-0.15569125,0.584453694
Gm26558,chr2,70661148,70662109,-,-122621,0,-0.285863869,0.66479217
Dynlt1-ps1,chr6,135349407,135349749,-,68091,14409,-0.123210167,1.0
Gm16209,chr8,107037479,107038106,-,80855,57796,0.133979609,0.937662204
Smg1,chr7,118131307,118243670,-,54094,-11170,-0.032041594,0.911904177
Rbm15b,chr9,106880917,106887428,-,639344,4330,-0.053812276,0.882656965
Dynlt1b,chr17,6430111,6436296,+,342172,342043,-0.031558858,0.978040547
Tmem109,chr19,10870659,10882001,-,-93467,-40685,-0.274443988,0.356150809
Dennd1c,chr17,57065904,57078514,-,-438328,-33768,-0.013576965,0.97524248
Rps16,chr7,28350651,28353155,+,373369,20021,-0.050237208,0.90511767
Selenot,chr3,58576635,58593133,+,-732558,-24117,0.072256993,0.901512425
Lsm2,chr17,34981861,34985891,+,368318,-926,-0.148871525,0.828429185
Asns,chr6,7675168,7693254,-,819404,150770,0.604109649,0.647106164
Rps2-ps8,chr17,31643897,31644779,-,387150,-123422,0.158439265,0.862632042
Phf2,chr13,48801749,48871119,-,58175,108080,-0.154151246,0.212464852
Hnrnpa3,chr2,75659260,75669407,+,306091,-19804,0.222196305,0.411602507
Baz1b,chr5,135187263,135246129,+,-71752,-52841,-0.214849981,0.13586344
Gmcl1,chr6,86691767,86733383,-,769550,-6916,-0.058401672,0.907721412
Papola,chr12,105784693,105838944,+,1144347,0,0.015524883,0.97942843
Eef1a1,chr9,78478448,78489151,-,-404268,-34938,0.027996772,0.931255795
2610507I01Rik,chr11,59199835,59202385,-,882600,-35923,0.549055831,0.449943061
Lsg1,chr16,30560493,30587592,-,-121323,0,-0.00810905,0.986681332
Ndufb4,chr16,37647169,37654453,-,-209817,160341,0.228951478,0.595343087
Gm49783,chr10,92717507,92723688,-,728493,0,-0.161889442,0.834931258
Btbd11,chr10,85386813,85660292,+,-268022,0,-0.097918508,0.935378147
Srek1ip1,chr13,104792483,104839274,+,844011,98513,0.270661618,0.475506056
Azi2,chr9,118040498,118069794,+,-894206,203105,-0.001046985,0.998198715
6820431F20Rik,chr8,20262612,20297432,-,-1736065,-1100745,0.079235728,0.8348896
Clcf1,chr19,4214237,4223490,+,-69091,-10925,-0.165421348,0.648833048
Parl,chr16,20279817,20302387,-,628043,213,0.184984248,0.506717141
Gm13864,chr6,34786678,34787463,+,200687,164632,0.060117349,1.0
Zfyve19,chr2,119208616,119217049,+,22309,-19415,0.025921969,0.977380967
E2f2,chr4,136172393,136196057,+,-82547,0,0.1559081,0.734861793
Rpl10a,chr17,28328470,28331033,+,-247698,-71600,-0.102107494,0.655391716
Rbm22,chr18,60560735,60572810,+,194670,194657,0.074362863,0.747595081
Aatf,chr11,84422854,84513522,-,295151,-178961,-0.039922578,0.939874476
Cenpm,chr15,82233778,82244748,-,-931073,69,0.364214935,0.767824742
Gm27517,chr11,3645285,3645521,-,-300174,-258254,0.198424963,0.681745106
Galns,chr8,122578241,122611463,-,306590,158073,-0.090777215,0.824051848
Bag5,chr12,111709487,111713257,-,19243,-120370,-0.213213948,0.483784949
Prelid2,chr18,41875599,41951242,-,323683,281,0.239409729,0.906213123
Rsc1a1,chr4,141683850,141685599,-,-1082470,-17346,0.084188702,0.889550819
Mrps18c,chr5,100798626,100804471,+,-69821,-78224,-0.116021221,0.907721412
Epc1,chr18,6435950,6516108,-,248783,0,-0.078810934,0.773883353
Micu2,chr14,57916260,57999262,-,-13993,-5734,0.163587233,0.445864161
Rad54l,chr4,116094263,116123690,-,329794,-18948,-0.268356426,0.76085025
Snx27,chr3,94497543,94582716,-,1311467,34169,-0.039533319,0.937949218
Prkce,chr17,86167784,86657919,+,99928,0,-0.049144229,0.961974656
Vps13d,chr4,144972621,145195005,-,2855461,0,-0.014586772,0.964558612
Mff,chr1,82724889,82752394,+,12273,12018,0.087490333,0.788587163
